Expense,Amount,Category,Date,Interest/Debt
Wifi,₱550.00,"Home, Technology","October 12, 2024",
Greenwich and Dunkin,₱772.00,Food,"October 12, 2024",
Jisu Fan and Vitamins,"₱2,239.50","Personal, Technology","October 12, 2024",
JoyRide,₱210.00,Transportation,"October 12, 2024",
Momarcs,₱115.00,Food,"October 12, 2024",
Mcdo,₱414.00,Food,"October 13, 2024",
Watsons,₱932.00,Personal,"October 13, 2024",
Avocadaria,₱150.00,Food,"October 13, 2024",
Shirts,"₱1,509.92",Personal,"October 13, 2024",
Mama Papa,"₱3,000.00",Personal,"October 13, 2024",
SM Food,₱290.00,Food,"October 13, 2024",
Tumblr,₱148.00,Personal,"October 14, 2024",
JoyRide,₱221.00,Transportation,"October 14, 2024",
JCO,₱395.00,Food,"October 14, 2024",
Ikot,₱33.00,Transportation,"October 15, 2024",
Banana Cake,₱25.00,Food,"October 15, 2024",
Manam,₱970.87,Food,"October 15, 2024",
Gulay and Hungarian,₱125.00,Food,"October 15, 2024",
Thai Print,₱10.00,Personal,"October 15, 2024",
Ikot,₱11.00,Transportation,"October 16, 2024",
Pasta and Coffee,₱120.00,Food,"October 16, 2024",
Chicken and Pasta,₱175.00,Food,"October 16, 2024",
Lugaw,₱178.00,Food,"October 17, 2024",
Liempo,₱75.00,Food,"October 17, 2024",
Janggs,₱90.00,Food,"October 17, 2024",
Smart C,₱50.00,Food,"October 17, 2024",
Turon Cheese,₱20.00,Food,"October 17, 2024",
Lucky Day,₱35.00,Food,"October 17, 2024",
Karinderya,₱80.00,Food,"October 17, 2024",
Avocadaria,₱140.00,Food,"October 18, 2024",
Ikot and Pamasahe,₱77.00,Transportation,"October 18, 2024",
Timezone,₱250.00,Food,"October 18, 2024",
Popeyes,₱278.00,Food,"October 18, 2024",
Rent,"₱3,000.00",Home,"October 19, 2024",
JBL Tune 115TWS True Wireless Earbuds,"₱1,859.32","Personal, Technology","October 19, 2024",
JoyRide,₱221.00,Transportation,"October 19, 2024",
Jollibee,₱149.00,Food,"October 21, 2024",
Paotsin,₱85.00,Food,"October 21, 2024",
Braces Adjustment,"₱1,300.00",Personal,"October 21, 2024",
JoyRide,₱221.00,Transportation,"October 21, 2024",
Ikot,₱22.00,Transportation,"October 22, 2024",
Frankies,₱430.00,Food,"October 22, 2024",
Sisig and Gulay,₱130.00,Food,"October 22, 2024",
Uncle John’s,₱75.00,Food,"October 23, 2024",
Janggs,₱90.00,Food,"October 23, 2024",
Daiso,₱246.00,Personal,"October 23, 2024",
Karinderya,₱95.00,Food,"October 24, 2024",
Food with Feli,₱130.00,Food,"October 24, 2024",
Daily Habit Coffee,₱355.00,Food,"October 24, 2024",
Laundry,₱197.00,Home,"October 24, 2024",
Adapter and Joy,₱81.00,Personal,"October 24, 2024",
Janggs,₱195.00,Food,"October 25, 2024",
Karinderya,₱105.00,Food,"October 26, 2024",
JoyRide,₱221.00,Transportation,"October 26, 2024",
Payment Ate,"₱1,500.00",Personal,"October 27, 2024",
JoyRide,₱221.00,Transportation,"October 28, 2024",
Ikot,₱22.00,Transportation,"October 29, 2024",
Zarks,₱518.00,Food,"October 29, 2024",
Janggs,₱140.00,Food,"October 29, 2024",
Sisig and Gulay,₱135.00,Food,"October 29, 2024",
KFC,₱225.00,Food,"October 30, 2024",
Jollibee,₱85.00,Food,"October 30, 2024",
JCO,₱865.00,Food,"October 30, 2024",
Gulay,₱95.00,Food,"October 30, 2024",
Pamasahe,₱56.00,Transportation,"October 31, 2024",
Burger King,₱195.00,Food,"October 31, 2024",
Jamaica,₱75.00,Food,"October 31, 2024",
Movie,₱300.00,Entertainment,"October 31, 2024",
Manam,"₱1,791.36",Food,"October 31, 2024",
Ate Bahay and Work,"₱3,500.00","Home, Personal","November 1, 2024",
Feli Work,"₱2,000.00",Personal,"November 1, 2024",
JoyRide,₱221.00,Transportation,"November 1, 2024",
Mang Inasal,₱445.00,Food,"November 2, 2024",
Beef Tapa,₱95.00,Food,"November 4, 2024",
Friedays,₱99.00,Food,"November 5, 2024",
Janggs,₱269.00,Food,"November 5, 2024",
Ikot,₱33.00,Transportation,"November 5, 2024",
Sisig,₱95.00,Food,"November 5, 2024",
Tapa and Salad,₱392.00,Food,"November 6, 2024",
Maong’s,₱150.00,Food,"November 6, 2024",
Sting,₱25.00,Food,"November 6, 2024",
Ikot,₱33.00,Transportation,"November 6, 2024",
Creamy Chicken and Pesto,₱170.00,Food,"November 6, 2024",
Lucky Day,₱35.00,Food,"November 7, 2024",
Rocha,₱120.00,Food,"November 7, 2024",
Ikot,₱22.00,Transportation,"November 7, 2024",
Inasal and Pesto,₱170.00,Food,"November 7, 2024",
Tapa,₱99.00,Food,"November 8, 2024",
Corndog,₱100.00,Food,"November 8, 2024",
Nanay Bangis,"₱1,300.00",Entertainment,"November 8, 2024",
Lucky Day,₱35.00,Food,"November 8, 2024",
Buttered  Chicken,₱95.00,Food,"November 8, 2024",
Dinakdakan,₱95.00,Food,"November 8, 2024",
Ikot,₱33.00,Transportation,"November 8, 2024",
Hungarian,₱79.00,Food,"November 9, 2024",
Foods and Stuff with Feli,₱411.60,"Food, Home, Personal","November 10, 2024",
Golden Chicken and Donut,₱138.00,Food,"November 11, 2024",
Dinakdakan and Gising Gising,₱100.00,Food,"November 11, 2024",
Chicken,₱66.00,Food,"November 12, 2024",
Sisig,₱65.00,Food,"November 12, 2024",
Water and Cookies,₱45.00,Food,"November 12, 2024",
Laundry,₱197.00,Personal,"November 12, 2024",
Creamy Chicken,₱95.00,Food,"November 12, 2024",
Ikot,₱11.00,Transportation,"November 13, 2024",
Shawarma,₱45.00,Food,"November 13, 2024",
Hansel and Water,₱40.00,Food,"November 13, 2024",
Gising Gising,₱45.00,Food,"November 13, 2024",
Watsons,₱669.00,Home,"November 14, 2024",
Silantro,₱783.00,Food,"November 14, 2024",
Lucky Day,₱35.00,Food,"November 14, 2024",
Hungarian,₱60.00,Food,"November 14, 2024",
Potato Fries,₱20.00,Food,"November 15, 2024",
Ikot,₱11.00,Transportation,"November 15, 2024",
Lucky Day and Cookies,₱50.00,Food,"November 15, 2024",
Chicken Roll,₱95.00,Food,"November 15, 2024",
JoyRide,₱227.00,Transportation,"November 16, 2024",
Rent,"₱3,000.00",Home,"November 19, 2024",
Wifi,₱550.00,"Home, Personal","November 19, 2024",
"Roasted Chicken, Coffee, Siomai",₱199.00,Food,"November 19, 2024",
Water,₱25.00,Food,"November 19, 2024",
Jollibee,₱147.00,Food,"November 19, 2024",
Beef Pares,₱100.00,Food,"November 20, 2024",
Lucky Day and Wafrets and Dewberry,₱80.00,Food,"November 20, 2024",
Creamy Beef and Creamy Carbonara,₱205.00,Food,"November 20, 2024",
Ikot,₱11.00,Transportation,"November 20, 2024",
Sisig,₱65.00,Food,"November 21, 2024",
Ramen Nagi,₱953.13,Food,"November 21, 2024",
Water,₱15.00,Food,"November 21, 2024",
Ikot,₱22.00,Transportation,"November 21, 2024",
Pasta and Dinakdakan,₱180.00,Food,"November 21, 2024",
Kropek and Tumblr,₱246.00,"Home, Personal","November 22, 2024",
Timezone,₱300.00,Entertainment,"November 22, 2024",
Ikot and Tricycle,₱62.00,Transportation,"November 22, 2024",
Feli and Ate Bayad,"₱4,400.00","Debt, Personal","November 22, 2024",
S&R,₱228.00,Food,"November 22, 2024",
Water,₱15.00,Food,"November 22, 2024",
Beef and Sandwich,₱105.00,Food,"November 22, 2024",
Laundry,₱197.00,"Home, Personal","November 23, 2024",
Tricycle,₱60.00,Transportation,"November 23, 2024",
Chowking,₱364.00,Food,"November 23, 2024",
Water,₱70.00,Food,"November 23, 2024",
Jamaican,₱150.00,Food,"November 23, 2024",
